Trade_Num,Datetime,Timestamp,Block,Price,Lower,Upper,Holder_PNL,LP_PNL,IL,Fees,Fee-IL,AMM_PNL,Holder_PNL(%),LP_PNL(%),IL(%),Fees(%),Fee-IL(%),AMM_PNL(%)
,2021-09-30 10:59:59,1632970799.0,13324539.0,2988.427252546109,2182.04600372779,3677.5136020677696,2568.7949868292926,2275.8092012507987,292.98578557849396,244.8952158578026,-48.09056972069135,2520.7044171086013,2.5687949868292925,2.2758092012507984,0.292985785578494,0.2448952158578026,-0.04809056972069135,2.5207044171086013
20,2021-09-30 11:59:58,1632974398.0,13324797.0,3017.5545797197665,2330.9121477572794,3928.405319575355,,,,,,,,,,,,
,2021-10-01 18:54:08,1633085648.0,13332995.0,3210.5544939125457,2330.9121477572794,3928.405319575355,2912.263550295669,2546.9983071101597,365.26524318550946,224.67541834305732,-140.58982484245215,2771.673725453217,2.9122635502956693,2.54699830711016,0.36526524318550946,0.22467541834305732,-0.14058982484245214,2.771673725453217
21,2021-10-01 19:48:13,1633088893.0,13333244.0,3239.902402907456,2504.918179010063,4221.666573316442,,,,,,,,,,,,
,2021-10-03 00:59:44,1633193984.0,13341062.0,3423.421371309925,2504.918179010063,4221.666573316442,2666.9403669648163,2370.611058223745,296.32930874107115,165.56100859755827,-130.76830014351287,2536.1720668213034,2.666940366964816,2.370611058223745,0.29632930874107116,0.1655610085975583,-0.13076830014351287,2.5361720668213033
22,2021-10-03 01:53:24,1633197204.0,13341296.0,3431.6470381766967,2643.895429552018,4482.706407633365,,,,,,,,,,,,
,2021-10-06 23:59:18,1633535958.0,13366360.0,3610.8304489596335,2643.895429552018,4482.706407633365,2520.7140212569066,2264.243186322041,256.4708349348657,556.2010835554531,299.7302486205874,2820.4442698774938,2.5207140212569064,2.264243186322041,0.2564708349348657,0.5562010835554532,0.2997302486205874,2.8204442698774934
23,2021-10-07 00:53:40,1633539220.0,13366614.0,3592.4630088084473,2773.8908435302255,4674.9799455677385,,,,,,,,,,,,
,2021-10-11 07:59:03,1633910343.0,13393993.0,3419.657866280834,2773.8908435302255,4674.9799455677385,-2384.3124889441824,-2622.448684598028,238.1361956538458,472.8096955043977,234.67349985055193,-2149.6389890936307,-2.3843124889441825,-2.6224486845980284,0.23813619565384578,0.4728096955043978,0.23467349985055191,-2.149638989093631
24,2021-10-11 08:58:31,1633913911.0,13394240.0,3435.08022986791,2643.895429552018,4482.706407633365,,,,,,,,,,,,
,2021-10-14 09:59:55,1634176795.0,13413569.0,3636.1936616460616,2643.895429552018,4482.706407633365,2836.2801643966814,2512.5565237935953,323.7236406030861,365.5262437698252,41.80260316673912,2878.0827675634205,2.8362801643966815,2.512556523793595,0.3237236406030861,0.36552624376982523,0.041802603166739116,2.8780827675634204
25,2021-10-14 10:58:07,1634180287.0,13413820.0,3642.7443765815738,2807.376370762246,4759.887212326988,,,,,,,,,,,,
,2021-10-15 11:46:41,1634269601.0,13420349.0,3826.8227217849962,2807.376370762246,4759.887212326988,2532.852895505406,2283.5085777822387,249.34431772316748,110.03758662670344,-139.30673109646403,2393.5461644089423,2.5328528955054064,2.283508577782239,0.24934431772316748,0.11003758662670345,-0.13930673109646402,2.393546164408942
26,2021-10-15 12:58:34,1634273914.0,13420625.0,3812.309114428296,2945.409838134181,4964.04966939182,,,,,,,,,,,,
,2021-10-20 22:58:36,1634741916.0,13455283.0,4054.924172094077,2945.409838134181,4964.04966939182,3261.6265591916017,2854.810751531608,406.8158076599939,627.1231909489541,220.30738328896018,3481.933942480562,3.2616265591916016,2.8548107515316077,0.40681580765999387,0.6271231909489541,0.22030738328896018,3.481933942480562
27,2021-10-20 23:59:58,1634745598.0,13455542.0,4068.326854001883,3146.35509980166,5302.712984368111,,,,,,,,,,,,
,2021-10-21 18:58:43,1634813923.0,13460579.0,4309.099492114875,3146.35509980166,5302.712984368111,3148.440647088035,2783.7618328290846,364.6788142589503,140.21067965330823,-224.46813460564206,2923.9725124823926,3.148440647088035,2.7837618328290845,0.3646788142589503,0.14021067965330825,-0.22446813460564208,2.9239725124823925
28,2021-10-21 19:59:23,1634817563.0,13460869.0,4211.5472275712755,3242.1710150824033,5497.078523417868,,,,,,,,,,,,
,2021-10-22 23:59:49,1634918389.0,13468343.0,3964.315154475406,3242.1710150824033,5497.078523417868,-3191.5291670481383,-3578.5714863754692,387.0423193273309,224.20780371691123,-162.8345156104197,-3354.363682658558,-3.1915291670481385,-3.5785714863754694,0.3870423193273309,0.2242078037169112,-0.1628345156104197,-3.3543636826585583
29,2021-10-23 00:59:12,1634921952.0,13468611.0,3969.0749499811227,3053.3708333076033,5176.96912153141,,,,,,,,,,,,
,2021-10-25 23:59:49,1635177589.0,13487534.0,4196.413670962556,3053.3708333076033,5176.96912153141,3009.7061789188883,2672.8403537102567,336.8658252086316,288.4274351911479,-48.4383900174837,2961.267788901405,3.009706178918888,2.672840353710257,0.33686582520863156,0.2884274351911479,-0.0484383900174837,2.9612677889014045
30,2021-10-26 00:49:57,1635180597.0,13487782.0,4225.045088878179,3261.6815387052316,5497.078523417868,,,,,,,,,,,,
,2021-10-27 17:41:57,1635327717.0,13498680.0,4015.3819655501325,3261.6815387052316,5497.078523417868,-2686.432926588255,-2963.647654969376,277.21472838112095,230.05124340229156,-47.16348497882939,-2733.5964115670845,-2.6864329265882554,-2.963647654969376,0.27721472838112093,0.23005124340229155,-0.047163484978829384,-2.7335964115670848
31,2021-10-27 18:57:11,1635332231.0,13498998.0,4017.3900581112593,3090.2301540074964,5239.463844747607,,,,,,,,,,,,
,2021-10-29 03:58:03,1635451083.0,13507730.0,4249.620320936429,3090.2301540074964,5239.463844747607,3043.037465330519,2699.2629841998714,343.7744811306475,254.36590520776159,-89.40857592288589,2953.628889407633,3.043037465330519,2.6992629841998714,0.34377448113064746,0.2543659052077616,-0.08940857592288588,2.953628889407633
32,2021-10-29 04:56:10,1635454570.0,13507964.0,4250.47028749682,3281.3094714746676,5530.158481226622,,,,,,,,,,,,
,2021-11-01 07:36:58,1635723418.0,13527773.0,4290.1820490991995,3281.3094714746676,5530.158481226622,506.822754679044,497.26657679269556,9.55617788634845,417.76592471721256,408.2097468308641,915.0325015099081,0.506822754679044,0.49726657679269554,0.00955617788634845,0.4177659247172125,0.4082097468308641,0.9150325015099082
